Title	URL	Assignees	Status
Separating Asset_IO to support third party contributions	https://github.com/contentauth/c2pa-rs/issues/398	gpeacock	Released
Make_test_images validation tests	https://github.com/contentauth/c2pa-rs/issues/412	gpeacock	Released
Add support for SDK configuration settings	https://github.com/contentauth/c2pa-rs/issues/413	mauricefisher64	Released
Support streaming writes for TIFF format	https://github.com/contentauth/c2pa-rs/issues/414	mauricefisher64	Released
Add `no_openssl` feature to allow builds on systems without OpenSSL		gpeacock	Released
Add functionality to get the signing certificate chain without OpenSSL	https://github.com/contentauth/c2pa-rs/issues/447	gpeacock	Released
Create a build that only exposes 2024 APIs	https://github.com/contentauth/c2pa-rs/issues/454	gpeacock	Released
2024 APIs		mauricefisher64	Released
C++ istream/ostream support	https://github.com/contentauth/c2pa-c/issues/12	gpeacock	Released
Add native XMP write support for PNG	https://github.com/contentauth/c2pa-rs/issues/432	mauricefisher64	Released
Zip format support	https://github.com/contentauth/c2pa-rs/issues/406	mauricefisher64, ok-nick	Code Complete
Test tool for API 2024, create and compare manifests	https://github.com/contentauth/c2pa-rs/issues/451	gpeacock, ok-nick	Released
API 2024 documentation review	https://github.com/contentauth/c2pa-rs/issues/455	crandmck	Released
Support RemoteSigner API via AsyncSigner	https://github.com/contentauth/c2pa-rs/issues/449	gpeacock	Released
Add Region of Interest Assertion helper	https://github.com/contentauth/c2pa-js-legacy/issues/167	emensch	In Review / Triage
Cloud URLs in Manifests (icons & etc...)	https://github.com/contentauth/c2pa-rs/issues/390	gpeacock, mauricefisher64	Released
AIFF support			In Review / Triage
Support timestamp assertions	https://github.com/contentauth/c2pa-rs/issues/548	mauricefisher64	Released
Support for timestamp V2	https://github.com/contentauth/c2pa-rs/issues/547	mauricefisher64	Released
Read support for c2md (JUMBF data) manifests	https://github.com/contentauth/c2pa-rs/issues/549	mauricefisher64	In Review / Triage
Remove VC support/generation when writing Claim V2 manifests	https://github.com/contentauth/c2pa-rs/issues/553		Released
Implement Mandatory Created and Opened Actions	https://github.com/contentauth/c2pa-rs/issues/586	gpeacock, ok-nick	Released
Add redactions for databoxes	https://github.com/contentauth/c2pa-rs/issues/554	mauricefisher64	Released
New structures to support 1.x and 2.x namespaces	https://github.com/contentauth/c2pa-rs/issues/555		Released
Change ValidationLogs to support standardized 2.x logging	https://github.com/contentauth/c2pa-rs/issues/556	gpeacock, mauricefisher64	Released
Custom serializer/deserialize that can read 1.4-2.x. Claims	https://github.com/contentauth/c2pa-rs/issues/557	mauricefisher64	Released
Change Claim Signature URI to be full path	https://github.com/contentauth/c2pa-rs/issues/558		Released
Update ClaimAssertion to map assertions to correct assertion list	https://github.com/contentauth/c2pa-rs/issues/559		Released
During standard Claim validation validate Claim icon if present	https://github.com/contentauth/c2pa-rs/issues/561		Released
Remove writing of native camera RAW formats from SDK.	https://github.com/contentauth/c2pa-rs/issues/567	cdmurph32	Released
Update c2patool for 2.1 spec support	https://github.com/contentauth/c2pa-rs/issues/746	gpeacock	Released
Integrate Dynamic Assertion via Signer for CAWG	https://github.com/contentauth/c2pa-rs/issues/585	gpeacock	Released
Testing infrastructure	https://github.com/contentauth/c2pa-rs/issues/396	gpeacock	Released
Generate SDK v1.0 documentation	https://github.com/contentauth/c2pa-rs/issues/453	gpeacock	In Review / Triage
Convert c2patool to use settings config	https://github.com/contentauth/c2pa-rs/issues/747	ok-nick	Released
CAWG signing integration for c2patool	https://github.com/contentauth/c2pa-rs/issues/748	ok-nick	Released
Option to automatically add parent in Builder API	https://github.com/contentauth/c2pa-rs/issues/590	gpeacock	Released
c2patool Ingredients use trust list and warn for errors.	https://github.com/contentauth/c2pa-rs/issues/1213		Released
Manifest schema documentation update	https://github.com/contentauth/c2pa-rs/issues/634	gpeacock	Todo
Complete '24 API Deprecations	https://github.com/contentauth/c2pa-rs/issues/637	gpeacock	Released
Add validation_state API	https://github.com/contentauth/c2pa-rs/issues/638	gpeacock	Released
Bring C++ API up to date with Python API.	https://github.com/contentauth/c2pa-c/issues/26	gpeacock	Released
Add support for c2pa.icon	https://github.com/contentauth/c2pa-rs/issues/709		Released
Add XMP support for SVG	https://github.com/contentauth/c2pa-rs/issues/764	mauricefisher64	Released
Update claim signer API to support V2 claims	https://github.com/contentauth/c2pa-rs/issues/847	mauricefisher64	Released
ValidationResults support & Ingredients v3	https://github.com/contentauth/c2pa-rs/issues/851	gpeacock	Released
V2 claims in C++ SDK	https://github.com/contentauth/c2pa-c/issues/38	gpeacock	Released
V2 Claims in Python SDK	https://github.com/contentauth/c2pa-python/issues/80	gpeacock	Released
Rust API modifications for v2 claims	https://github.com/contentauth/c2pa-rs/issues/852	gpeacock	Released
Remove openssl feature	https://github.com/contentauth/c2pa-rs/issues/868	gpeacock	Released
change Settings to be thread safe	https://github.com/contentauth/c2pa-rs/issues/1019	mauricefisher64	Released
Support 2.x ingredient conflict resolution	https://github.com/contentauth/c2pa-rs/issues/1055	mauricefisher64	Released
Support 2.x Actions validation	https://github.com/contentauth/c2pa-rs/issues/1056	mauricefisher64	Released
New 2.2 Informational Code	https://github.com/contentauth/c2pa-rs/issues/1068	mauricefisher64	Released
Auto parent generation linking actions to ingredients	https://github.com/contentauth/c2pa-rs/issues/1069		Released
c2pa.metadata Assertion support	https://github.com/contentauth/c2pa-rs/issues/1070	alextrnnn	Released
Validation of CBOR and JSON conformance for assertions	https://github.com/contentauth/c2pa-rs/issues/1071	mauricefisher64	Released
Remove VC support	https://github.com/contentauth/c2pa-rs/issues/1072	mauricefisher64	Released
Validate manifest label names for conformance	https://github.com/contentauth/c2pa-rs/issues/1073	mauricefisher64	Released
Support 2.2 ingredient conflict resolutions	https://github.com/contentauth/c2pa-rs/issues/1074	mauricefisher64	Released
Settings support in API	https://github.com/contentauth/c2pa-rs/issues/1075	gpeacock	Released
Support LogoType for X509 certificates	https://github.com/contentauth/c2pa-rs/issues/1076		In Review / Triage
OCSP Validation states	https://github.com/contentauth/c2pa-rs/issues/1077	mauricefisher64	Released
Support LinkHeader for remote manifest fetch	https://github.com/contentauth/c2pa-rs/issues/1078		In Review / Triage
Sidecar support for language bindings	https://github.com/contentauth/c2pa-rs/issues/1079		In Review / Triage
Create unit test for interop between 1.x and 2.x Claims	https://github.com/contentauth/c2pa-rs/issues/1080	mauricefisher64	Released
SDK support to allow creation of Update Manifests	https://github.com/contentauth/c2pa-rs/issues/1081	gpeacock	Released
Ingredient Claim Signature validation for 2.2	https://github.com/contentauth/c2pa-rs/issues/1082		Released
API Support for gathered assertions	https://github.com/contentauth/c2pa-rs/issues/1084	gpeacock	Released
c2pa-rs published libraries	https://github.com/contentauth/c2pa-rs/issues/1085	gpeacock	Released
Building improvement	https://github.com/contentauth/c2pa-rs/issues/1086	gpeacock	Released
Write assertions for thumbnails and icons (no databoxes)	https://github.com/contentauth/c2pa-rs/issues/1087	gpeacock	Released
2.2 thumbnail name change	https://github.com/contentauth/c2pa-rs/issues/1088	gpeacock	Released
Support Icon Assertion	https://github.com/contentauth/c2pa-rs/issues/1209	gpeacock	Released
Timestamp Assertion	https://github.com/contentauth/c2pa-rs/issues/1210	gpeacock	Todo
Soft Binding Implementation	https://github.com/contentauth/c2pa-rs/issues/1211	ok-nick	Released
Asset Reference Assertion support	https://github.com/contentauth/c2pa-rs/issues/1212	alextrnnn	Released
Ingredients use trust list and warn for errors.	https://github.com/contentauth/c2pa-rs/issues/1214	gpeacock	Released
AllActionsIncluded default to true	https://github.com/contentauth/c2pa-rs/issues/1215	ok-nick	Released
Signer from Settings	https://github.com/contentauth/c2pa-rs/issues/1216	ok-nick	Released
Remove v1_api feature code	https://github.com/contentauth/c2pa-rs/issues/1217	gpeacock	Released
Enable v2 claims by default	https://github.com/contentauth/c2pa-rs/issues/1218	gpeacock	Released
Add M4V to list of supported BMFF types	https://github.com/contentauth/c2pa-rs/issues/1224	mauricefisher64	Released
Add builder.set_resource_path	https://github.com/contentauth/c2pa-rs/issues/1231	alextrnnn	Released
Implement ResourceResolver	https://github.com/contentauth/c2pa-rs/issues/1256	ok-nick	In Review / Triage
Support for c2pa.removed	https://github.com/contentauth/c2pa-rs/issues/1262		In Review / Triage
Claim instanceID field handling	https://github.com/contentauth/c2pa-rs/issues/1263		In Review / Triage
Figure out why verify_after_sign won't work with make_test_images	https://github.com/contentauth/c2pa-rs/issues/1267	gpeacock	Released
Fix the unresolvable_did unit test that was timing out [CAI-9157]	https://github.com/contentauth/c2pa-rs/issues/1277	scouten-adobe	Released
Expose claim version correctly in public API	https://github.com/contentauth/c2pa-rs/issues/1279	gpeacock	Todo
Use more consistent formatting in Rust docs	https://github.com/contentauth/c2pa-rs/issues/1280	scouten-adobe	In Review / Triage
Support sidecars for unsupported formats	https://github.com/contentauth/c2pa-rs/issues/1320		In Review / Triage
Harden the c_ffi_api	https://github.com/contentauth/c2pa-rs/issues/1334		In Review / Triage
Support for feedback/progress monitor in SDK.	https://github.com/contentauth/c2pa-rs/issues/1405	gpeacock, mauricefisher64	In Review / Triage
Investigate solution for embeddable manifests for BMFF based assets	https://github.com/contentauth/c2pa-rs/issues/1407	mauricefisher64	In Review / Triage
Investigate performance issues on Mac	https://github.com/contentauth/c2pa-rs/issues/1362	mauricefisher64	Released
Update OpenSSL validation to enforce RSA-PSS salt len	https://github.com/contentauth/c2pa-rs/issues/1365	mauricefisher64	Released
CA 942 work	https://github.com/contentauth/c2pa-rs/issues/1400	gpeacock	In Progress
Update ValidationState and add AssetState	https://github.com/contentauth/c2pa-rs/issues/1408	gpeacock, ok-nick	In Progress
Allow v1 claims to have a CBOR Metadata assertion	https://github.com/contentauth/c2pa-rs/issues/1409	gpeacock	Released
Add c2patool option to validate a local .c2pa file with a stream.	https://github.com/contentauth/c2pa-rs/issues/1410	gpeacock, ok-nick	Released
Create solution to pass restored Reader state to Builder	https://github.com/contentauth/c2pa-rs/issues/1411	gpeacock, mauricefisher64	Released
Support multi-rendition fragmented streams.	https://github.com/contentauth/c2pa-rs/issues/1415	mauricefisher64	In Review / Triage
Ocsp check should not create redundant success status	https://github.com/contentauth/c2pa-rs/issues/1429	gpeacock	Released
Decode CAWG Identity assertion inside Reader	https://github.com/contentauth/c2pa-rs/issues/1430	gpeacock	Released
